QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>org.apache.skywalking.apm.agent.core.boot.ServiceManager.public boot( ): void,boot( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,4,1
<Method>org.apache.skywalking.apm.agent.core.boot.ServiceManager.public findService( Class ): T,findService( Class ): T,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Method>org.apache.skywalking.apm.agent.core.boot.ServiceManager.private loadAllServices( ): Map,loadAllServices( ): Map,low,low,low-medium,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,32,0,13,0
<Method>org.apache.skywalking.apm.agent.core.boot.ServiceManager.private onComplete( ): void,onComplete( ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,0,4,2
<Method>org.apache.skywalking.apm.agent.core.boot.ServiceManager.private prepare( ): void,prepare( ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,0,4,2
<Method>org.apache.skywalking.apm.agent.core.boot.ServiceManager.public shutdown( ): void,shutdown( ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,0,4,2
<Method>org.apache.skywalking.apm.agent.core.boot.ServiceManager.private startup( ): void,startup( ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,0,4,2
<Field>org.apache.skywalking.apm.agent.core.boot.ServiceManager->bootedServices,bootedServices : Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.skywalking.apm.agent.core.boot.ServiceManager->INSTANCE,static final INSTANCE : ServiceManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.skywalking.apm.agent.core.boot.ServiceManager->logger,static final logger : ILog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.apache.skywalking.apm.agent.core.commands,org.apache.skywalking.apm.agent.core.commands,low,low,low,low,,,,,,24,104,,,,,,,,,,,,5,4,1,104,2,3,0.2,0.6,0.2,24,,,,,,
org.apache.skywalking.apm.agent.core.commands.CommandExecutionException,CommandExecutionException,low-medium,low,low,low,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,9,,,,,,0,,,,,,
